Canal,Descrição do canal
Dead Fish,"Canal  oficial de vídeos do Dead Fish, batizado de DEAD FISH TV."
Deap Vally,The official YouTube channel for Deap Vally. Stream and download our new track 'Look Away' now https://dv.lnk.to/digitaldreamYo
Desimpedidos,"Este é o canal Desimpedidos: o lar da ousadia e alegria, o pojéto do Luxa que deu certo. Quer saber mais? DESCUBRA! És habib. Vídeo novo todos os dias! 

CONTATO: contato@desimpedidos.com.br"
DevelopersBr,
diboboficial,
Didi Wagner,"Eu sou a Didi Wagner, libriana, apresentadora de TV e apaixonada por música e viagens. Na TV eu sigo script, por aqui nem sempre. Quero dividir com vocês minhas didicas, didilemas e didivagações sobre a vida. Toda quinta, às 18h. :)

Para stalkear: 
Facebook – https://www.facebook.com/didiwagneroficial/
Instagram – https://www.instagram.com/didiwagner/
Contato - didiwagner@boldconteudo.com.br
Lugar Incomum: toda segunda, às 18h30 no Multishow"
Diva Depressão,O veneno chega a escorrer
DJ CIA,
Do campo à mesa,"Canal de conteúdo educativo sobre escolhas alimentares bem informadas, criado e produzido pela jornalista Francine Lima, mestre em nutrição em saúde pública. 

O canal, que lançou o bordão ""Você é o que sabe sobre o que come"", ficou no ar entre julho de 2013 e julho de 2017. A produção de vídeos foi encerrada após o canal alcançar quase 150 mil inscritos e mais de 7 milhões de visualizações totais. 

Francine Lima continua atuando como profissional produtora de conteúdo e publicando suas ideias no Instagram e no LinkedIn.

© 2015 - Todos os direitos reservados."
Domínio Público,"Canal da rede Cultura & Ação, dedicado exclusivamente à divulgação de conteúdo em domínio público."
Eduardo Mendes,Um canal sobre Python e desenvolvimento de software de uma maneira geral.
El Efecto,Canais de vídeos da banda El Efecto do Rio de Janeiro/RJ.
EntrePlanos,"O EntrePlanos é um canal de análise crítica sobre cinema. Toda quinta-feira, um vídeo novo para fazer você ver os filmes com outros olhos.

REDES SOCIAIS

Twitter: @maxvalarezo
Instagram: @maxvalarezo
Letterboxd: maxvalarezo

CAIXA POSTAL

Caixa Postal: 2418
CEP: 70842970
Brasília-DF"
Epica Ciência,
Estudonauta Cursos,
EuTestei,"HÁ 10 ANOS NO AR! O EuTestei é um canal que traz informação e ajuda a quem precisa comprar seu próximo gadget, principalmente smartphones e acessórios. Também resenho uns gadgets legais, apps e dou opiniões sobre o mundo tech. Aprenda mais sobre tecnologia! Minha missão é ensinar o público a gostar de tecnologia para consumi-la de forma consciente.

""Ensinamos você a gostar de tecnologia para consumi-la de forma consciente"".

Qualidade e honestidade acima de tudo; Não existe produto errado, existe consumidor certo; Não deixe seus gostos influenciarem demais suas opiniões; É sempre possível fazer mais com um aparelho.

Meu setup: https://kit.com/eutestei/setup-de-producao-de-conteudo"
Fabio Ruicci,"Tutoriais e cursos de programação para todos os níveis.

Atualmente temos vídeos sobre Python e Git, mas a ideia é também falar sobre SQL, Boas práticas de programação, Fundamentos de computação, HTML, CSS, JavaScript, e outros tópicos relevantes.

Nossa comunidade no Discord: https://discord.gg/3gb3zGZ
Meu site: https://www.fabioruicci.com.br
LinkedIn: https://www.linkedin.com/in/fabioruicci/
GitHub: https://github.com/fabioruicci"
FaixaMobi,"Tecnologia, viagens e estilo de vida"
Fala Bandana,"Jornalismo alternativo para quem gosta do São Paulo! 
Com vídeos opinativos, produzidos por comunicadores tricolores focados no São Paulo FC!"
ffmspt,
Filho da nuvem,"Oi, eu sou o filho da nuvem e esse é um canal de programação que destrói a fronteira Brasil-Portugal. O objetivo é inspirar e preparar pessoas a uma carreira internacional de programação. Isso é provido entre vídeos de diferentes tecnologias e sobre a carreira de Dev em Portugal. http://devemportugal.com ."
finbarbass,
FitnessFAQs,Master Calisthenics with FitnessFAQs
Folha de S.Paulo,Confira a produção de vídeos da Folha
Forfun,"União, paz, harmonia, hardcore, dub, eletrônico, meditação e celebração do ser!
FORFUN"
Fronteiras do Pensamento,"Fronteiras do Pensamento, o ciclo de conferências que traz os maiores pensadores mundiais ao Brasil, faz do YouTube um espaço de debate. Neste canal, você encontra vídeos sempre legendados com entrevistas exclusivas e conferências. Nomes como Zygmunt Bauman, Edgar Morin, Steven Pinker, Mia Couto, Manuel Castells, Alain de Botton e dezenas de outros convidados discutem identidade, crise contemporânea, democracia, os valores que regem o mundo atual e as fronteiras do pensamento. Seria o próprio pensamento o limite para enxergarmos um novo mundo?


VÍDEOS INÉDITOS LEGENDADOS: todas as quintas
Inscreva-se em nosso canal: http://is.gd/FronteirasYouTube"
Fundos da Porta,"Esse é o canal de erros de gravação, making ofs, extras, entrevistas e tudo relacionado aos bastidores do canal PORTA DOS FUNDOS."
Gabriel Leal,"Composições de Gabriel Leal

Para contato: musicas.leal@gmail.com"
garyclarkjr,"The official YouTube channel of Gary Clark Jr.. Subscribe for the latest music videos, live performances, and more."
GEEaD CPS,Canal do GEEaD - Grupo de Estudo de Educação a Distância do Centro Paula Souza para publicação de videoaulas de cursos na modalidade EaD.
Google para seu Negócio,
gusalberto8,"Este canal foi criado em 2010 inspirado no trabalho de Salman Khan a da sua Khan Academy.
Os vídeos são produzidos  com uma mesa digitalizadora Wacom Bamboo usando os programas Photoshop Elements ou SmoothDraw."
HANNIE,"More content over at annieplaysguitar - check it out!
http://www.youtube.com/c/annieplaysguitar 

Instagram: https://www.instagram.com/annieplaysguitar/
Patreon: https://www.patreon.com/annieplaysguitar 
TikTok: https://www.tiktok.com/@annieplaysguitar 
Merch: annieplaysguitar.square.site"
Instituto de Estudos Avançados IEA,
Jan Gudme,"Finanças pessoais de uma maneira divertida.

Sinceramente, eu adoro finanças pessoais, investimentos, empreendedorismo e tudo nessa área. Mesmo assim, eu não aguento a maioria dos vídeos sobre esse assunto porque eu sempre achei meio chatos ou não representativos da realidade.

Eu sempre aprendi melhor quando quem me ensinava tinha um senso de humor, quando a pessoa era consicente de que deveria estar entretendo e não só ensinando. É disso que sinto falta, então é isso que vou tentar fazer.

Se você quer só as informações de forma direta sem história ou risada, talvez aqui não seja o lugar para você.

Mas se você quer um lugar para não só aprender, como também se divertir e se conectar com pessoas parecidas, então é aqui mesmo. Pode se inscrever, ligar sininho, essas firula toda."
Jorge Orellana,Jorge Orellana - Santiago de Chile
Jornal Antijurídico,"O seu jornal antijurídico, abolicionista e ecossocialista."
Laboratório 2000,"O Laboratório 2000 é produzido pelos irmãos Leonardo e Ricardo de Souza, com tópicos cobrindo ciência, tecnologia, história, futurismo e sustentabilidade - tudo isso de maneira calma, criativa e relaxante."
Linkin Park,
Loop Infinito,"Seja bem-vindo ao Loop Infinito!

Aqui você se informa e se diverte com vídeos sobre Apple, Google, Android, Microsoft e tecnologia em geral. Nosso objetivo é trazer sempre conteúdos relevantes de uma forma acessível e bem-humorada, seja fazendo review de algum acessório ou no nosso semanário de notícias, o Loopcast.

Dê uma olhada na nossa galeria de vídeos, e não deixe de se inscrever no canal.

Até a próxima!"
Lucio Big,"Este é o principal veículo de comunicação que utilizo para divulgar as fiscalizações e denúncias de gastos irregulares de dinheiro público. Sou diretor-presidente do Instituto OPS (https://institutoops.org.br) que é o responsável pela OPS (Operação Política Supervisionada), uma iniciativa popular que já provocou quase R$ 6 milhões em economia dos gastos públicos."
Luh Testoni,"Você gosta de fotografia e quer aprender a usar melhor o Instagram? veio ao canal certo! Aqui a gente fala de fotografia e instagram pra quem não é fotógrafo  ❤️

Dicas simples pra você tirar fotos melhores com celular, como mexer no instagram, ideias de fotografia criativa e como crescer no instagram de uma forma bacana e sem problemas! Toda semana  videos rápidos e de uma maneira que todo mundo entenda pra você usar direitinho a câmera do seu celular, apps de fotografia, dicas do instagram stories e muito mais!

Você pode também me acompanhar no Instagram! @luhtestoni & @lutestoni.toys"
LØAD,"A Ideia do canal é levar pras pessoas as ligações entre o Universo dos Quadrinhos e do Hip Hop, Mostrando para o público a naturalidade em você consumir diferentes
coisas, que na maioria das vezes bebem um da fonte do outro.

Videos Semanais."
Magalzão Show,
Manual do Mundo,"Olá! Somos o Manual do Mundo e viemos mostrar que há sempre um caminho mais interessante e divertido para aprender sobre as coisas ao nosso redor. Oferecemos produtos e conteúdos criativos que promovem experiências únicas de entretenimento e aprendizagem, no físico e no digital, sozinhos ou acompanhados.

Acreditamos que o conhecimento é capaz de eliminar qualquer obstáculo do caminho e é construído de um jeito colaborativo. É por isso que a melhor jornada é a que se anda junto, trocando descobertas, agregando mais gente.

Nosso ponto de partida é a curiosidade, e o de chegada também, porque quando a gente descobre uma resposta, nosso horizonte se expande, e a gente faz ainda mais perguntas. É assim que conquistamos o mundo!

Manual do Mundo. Desbravadores do conhecimento.

- DÚVIDAS: contato@manualdomundo.com.br
- CONTATO COMERCIAL: comercial@manualdomundo.com.br
- ASSESSORIA IMPRENSA: comunicacao@manualdomundo.com.br"
MARCA PASSO,Contamos histórias.
Marcelo Camelo,
Marcelo D2,Canal oficial do artista Marcelo D2
Marinando,"Toda segunda-feira, um novo vídeo no qual Marina Person ensina uma receita rápida, fácil, saudável e gostosa!

Facebook: https://pt-br.facebook.com/marina.person.5
https://www.facebook.com/Marinando-613178435552400/

INSCREVA-SE: http://www.youtube.com/user/Canalmarinando?sub_confirmation=1

E agora, Marinando faz parte do #TeamCook (http://www.cybercook.com.br/teamcook)! Veja lá os nossos parceiros."
Meteoro Brasil,"Meteoro é um canal sobre cultura pop, ciência e filosofia. E esse humilde canalzinho acaba de ficar mais alegre e completo por um bom motivo: você o encontrou. Muito obrigado!

Caixa Postal:17905
CEP: 80410-981"
Midiars,"Canal no YouTube do Midiars (Grupo de Pesquisa em Mídia, Discurso e Análise de Redes Sociais) - UFPEL/UFRGS.

Acesse também:
- Nosso blog: https://wp.ufpel.edu.br/midiars/
- Nosso perfil no Twitter: https://twitter.com/labmidiars
- Nossa página no Facebook: https://www.facebook.com/labmidiars"
mikannn,"Vídeos sobre séries, games, animes, a vida, o universo e tudo mais :)

SOBRE A MIKANNN
Míriam Castro, 26 anos, São Paulo, SP

http://instagram.com/_miriamcastro
http://twitter.com/hey_mika
http://facebook.com/canalmikannn
http://www.twitch.tv/mikannn

CONTATO
PARA FÃS/NOTÍCIAS: canalmikannn@gmail.com
COMERCIAL: canalmikannn@gmail.com

CAIXA POSTAL
Miriam Castro
Caixa Postal 20225
CEP 04035-972
São Paulo - SP"
Minuto da Terra,"Um canal no YouTube com vídeos curtos e divertidos que busca entreter e educar ao mesmo tempo. Com criatividade, um toque de humor e quase 200 vídeos online, tiramos dúvidas e ensinamos ciência e histórias sobre o nosso incrível planeta, o universo e tudo mais!

O Minuto da Terra é a tradução oficial e autorizada do Minute Earth, criado por Henry Reich, with Alex Reich, Peter Reich, Ever Salazar, Kate Yoshida, David Goldenberg, Arcadi Garcia, Sarah Berman, Jasper Palfree, and Julián Gómez. Música por Nathaniel Schroeder.

Mídia Kit: https://escarlatte.com/minutodaterra"
Minutos Psíquicos,"Minutos Psíquicos (Psychic Minutes) is a Brazilian channel for scientific dissemination that produces videos about psychology, neuroscience, the universe and everything else! Subscribe to the channel and become a member of our supporters' club by clicking on ""BECOME A MEMBER"" up here to receive several exclusive benefits! Contact for lectures, events or collaborations available below under ""for business consultations"". Visit our website: http://www.minutospsiquicos.com.br/"
MOV,"Somos a produtora de vídeos do UOL e, por aqui, a gente mistura entretenimento e informação!

De segunda à sexta, vídeos novos com um elenco incrível, saca só:
Segunda: Cá Entre Nós, com Yuri Marçal
Terça: Entre Likes
Quarta: Rabisco Falado
Quinta: Mundo Cômico, com Galãs Feios
Sexta: Meteoro Por Trás da Cena

OBS: isso não significa que a gente não faça vários outros conteúdos e/ou alguns experimentos pelo caminho ;)"
MUSIC THUNDER VISION,"Em Music Thunder Vision o assunto é música de todas as formas possíveis. Todas as formas e lugares que só a cabeça de Luiz Thunderbird e sua sabedoria pode te levar. Pra você que quer conhecer música boa, saber mais do seu artista favorito, ouvir as histórias e testemunhos do pai de todos os VJs da MTV no Brasil. Entre listas de músicas, temas interessantes e biografias não autorizadas aperte o cinto e boa viagem.

Entre em contato conosco: thunder@uol.com.br"
My Chemical Romance,The official My Chemical Romance YouTube channel.
Nando Reis,
Natiruts,
nerckie,"Seja bem-vindo!

Este é o canal do site Vestibulandia no Youtube, administrado principalmente por Nerckie e Alice.

Este canal tem por objetivo transformar a educação de Nível Médio em um instrumento de mudanças sociais, promovendo o acesso mais justo aos vestibulares brasileiros.

Nossos objetivos são ambiciosos (e , de certa forma utópicos)

Queremos:

- Disponibilizar gratuitamente TODO o conteúdo do Ensino Médio através de aulas no Youtube;

-Disponibilizar TODO o conteúdo das matérias vigentes na maioria dos concursos públicos brasileiros;

- Desenvolvimento de conteúdo para livros didáticos gratuitos e abrangentes (apenas com o conteúdo livre poderemos fomentar o desenvolvimento educacional do país, de maneira similar ao que ocorre com o Linux)

Nosso Twitter:
http://www.twitter.com/nerckie"
NPR Music,"The official YouTube channel for NPR Music featuring Tiny Desk Concerts, live shows, documentaries and more.  Find more at www.npr.org/music"
Nuvaman,"Music producer based in Birmingham, UK."
NX Zero,Canal oficial do NX Zero.
O Expresso de Hogwarts,"Canal dedicado à série Harry Potter. Fique por dentro do mundo mágico com episódios especiais relacionados à temas específicos do mundo que J.K. Rowling criou.

► Contato profissional: canalcalse@gmail.com"
O Fino da Zica,"O Fino da Zica é um canal que documenta a arte urbana e promove conexão entre artistas e interessados. Em 2021, o foco será o Hip Hop. Um entrevistade por mês, começando por mês, procurando abranger a complexidade artística que o Hip Hop tem. Os artistas trazem não só suas inspirações da primeira infância como os livros que influenciaram suas rimas. Os filmes que inspiraram o clima das suas batidas. Seus flows, letras e bases preferidos. A dixavação de uma letra de ponta a ponta. Aqui a zica é bem vinda.

Contato: 
Email | canalofinodazica@gmail.com
Instagram | @ofinodazica
Twitter | @ofinodazica
Facebook | /ofinodazica"
O Magriço Cibernético,"Canal destinado a ajudar vestibulandos da Fuvest, Unicamp, Unesp, Enem. Seu foco é linguagens, códigos e suas tecnologias, o que abrange artes, literatura, língua portuguesa e redação."
Olhe de novo,Um segundo olhar sobre a arte de fazer cinema.
ONErpm,"ONErpm is one of the fastest growing music networks in the world with +6 billion monthly views on YouTube. ONErpm leverages technology to develop scalable tools and solutions to help artists and labels succeed, while making sure music is properly marketed within each platform. We are YouTube Certified and specialized in: 
 - Rights Management / Content ID
 - Audience Growth and Channel Management
 - Content Creation
 - Cross-Channel Marketing
 - Brand Sponsorships"
Pablo Villaça,"Canal do portal Cinema em Cena (www.cinemaemcena.com.br) que traz vídeos com comentários de seu editor, o crítico Pablo Villaça."
Paloma Cipriano,"Para contato profissional envie para comercialpalomacipriano@gmailcom

Caixa postal: 168
CEP: 35701-970
Sete Lagoas - MG"
Panelaço,"Panelaço é o programa  de entrevistas e culinária vegana do João Gordo.
Todas às quintas feiras JG abre as portas da sua própria casa para entrevistar um convidado, enquanto un  chef prepara un rango vegano. 
As histórias mais loucas e as receitas mais iradas da culinária vegana do João e de seus convidados, você encontra aqui no Panelaço."
Panic! At The Disco,Welcome 👋 The Amazing Beebo was working on a new bio but now he's too busy taking over the world.
Papo de Musica,"Seja muito bem vindo a este canal!!! O Papo de Música é um dos raros espaços no Youtube que tem a música como protagonista. Apresentado pela jornalista Fabiane Pereira e dirigido pelo videomaker Vitor Souza Lima, o canal traz semanalmente uma entrevista exclusiva e inédita com um cantor ou uma cantora. Com um tom íntimo e pessoal, o Papo de Música ajuda a propagar os grandes responsáveis pela música brasileira ser uma das mais respeitadas do mundo.

Vem se divertir com a gente.

Espero que goste. Inscreva-se no canal!

Contato comercial: canalpapodemusica@gmail.com"
Papo No Estudio,"Papo no Estúdio é um vlog humorístico voltado ao noite-a-noite do meio musical amador. Idealizado por Rafael Tiene, produzido por Claudio Madureira e Marcelo Nery, OompaStudio.

OompaStudio http://goo.gl/fZxDP
Claudio Madureira http://goo.gl/DI3Rt
Marcelo Nery http://goo.gl/pGDwj
Rafael Tiene: http://goo.gl/svh3V"
Passa a Bola,Coletivo de meninas que jogam futebol por amor (mas que é também um grupo de amigas).
Pato Fu,"Pato Fu é uma banda de pop/rock criada em 1992. Ao lado de nomes como Radiohead, U2 e Portishead, foi considerada pela revista Time uma das dez melhores bandas do mundo. Entre as músicas mais famosas estão ""Sobre o Tempo"", ""Antes que Seja Tarde"", ""Made in Japan"" e ""Ando Meio Desligado"". 

Quando o Pato Fu começou, seus membros diziam que queriam ter uma carreira “longa e próspera”.Pois bem, parece que conseguiram se encaixar no bordão do Sr. Spock. E pelo jeito, vai ser ainda mais longa e próspera. Seus novos caminhos parecem apontar para vários outros, a fonte da criatividade parece que nunca seca, e a discoteca parece que nunca para.

Formação: Fernanda Takai, John Ulhoa, Ricardo Koctus, Xande Tamietti e Lulu Camargo.

Inscreva-se no canal e seja notificado na hora que um vídeo for postado!"
Pausa Para um Café - Anna Schermak,"O Pausa Para um Café existe há mais de 10 anos e em todo esse período acumulou muitos projetos que nasceram a partir do blog (www.pausaparaumcafe.com.br). Hoje o Pausa Para um Café é um blog, canal no youtube e podcast voltado para discussões pertinentes a atualidade com a literatura sempre como protagonista.

Aqui no canal você vai encontrar principalmente vídeos sobre Dante Alighieri e Divina Comédia como nosso projeto #LendoDante. Chuck Palahniuk e Clube da Luta com resenhas, dicas de leitura e análises de referências literárias em outras mídias. 

Além da literatura, temos um cantinho especial para Dicas de filmes, séries, animes e mangás por aqui. Mas sempre com nosso jeitinho especial de falar sobre tudo. Sem deixar de lado um dos nossos assuntos preferidos: O RPG DE MESA! 

Email: contato@pausaparaumcafe.com.br
PARA PUBLICIDADE, SOLICITE O MIDIA KIT POR EMAIL. 

Quer enviar algo?
CAIXA POSTAL: 14911
Curitiba – PR
CEP:81900-981"
peixeaquatico,"Meu nome é Leonardo Amaral, faço xixi, cocô e animas."
PinguimVideos,"O Programa de Educação em Software Livre (PESL), criado em 2008, é um esforço extensionista, conduzido com o apoio da Universidade Federal de São Paulo. O
Missão
O programa tem os seguintes objetivos:
-Difundir a filosofa de Software Livre, sobretudo, a importância da liberdade do conhecimento.
-Apresentar as principais ferramentas e sistemas baseadas em Software Livre por meio de minicursos e oficinas.
-Desenvolver e apoiar o desenvolvimento de conteúdo didático sobre Software Livre.
Descrição
O Programa de Educação em Software Livre, criado em 2008, é um esforço extensionista, conduzido com o apoio da Universidade Federal de São Paulo. O programa tem os seguintes objetivos:
-Difundir a filosofa de Software Livre, sobretudo, a importância da liberdade do conhecimento.
-Apresentar as principais ferramentas e sistemas baseadas em Software Livre por meio de minicursos e oficinas.
-Desenvolver e apoiar o desenvolvimento de conteúdo didático sobre Software Livre."
Pipocando,"Pipocando é um programa pra quem curte filmes, séries, animações e cultura pop! Um canal feito para os amantes de cinema!
Estoure a pipoca e aperte o play!

CONTATO COMERCIAL
comercial@blues.ag

www.blues.ag"
PlayCultura,
Podpah,O podcast mais zika da internet
Porta dos Fundos,"Porta dos Fundos é um coletivo criativo fundado em 2012 por Antonio Tabet, Fábio Porchat, Gregorio Duvivier, João Vicente de Castro e Ian SBF. O que começou despretensiosamente, com um grupo de amigos em busca de liberdade criativa, hoje é uma produtora consolidada, vencedora do Emmy Internacional de Comédia em 2019, pelo Especial de Natal feito para a Netflix.

É um dos maiores canais do YouTube Brasil, ultrapassando 5 bilhões de visualizações e 16 milhões de inscritos. Em abril de 2019, chegou também ao México com o canal ""Backdoor - Humor por donde no lo esperas"", já com mais de 3 milhões de inscritos.

O Porta dos Fundos se tornou uma referência em entretenimento multiplataforma, atuando em séries, filmes, branded content, entre outras produções, estabelecendo parcerias com empresas, canais de TV e plataformas de streaming.

Inscrevam-se e assistam :-)

CONTATO: contato@portadosfundos.com"
privitalino,"Apaixonada por games, sempre jogando um pouquinho de tudo ;)"
Programação Dinâmica,"Somos Kizzy e Hallison, parceiros na vida e nos negócios e temos uma missão: ajudar mais pessoas a terem acesso a educação de qualidade, a desenvolverem autonomia e pensamento crítico e experimentarem uma mudança de perspectiva para usufruir de mais oportunidades. 

Hoje, Kizzy é uma cientista de dados e Hallison, doutorando no Instituto de Matemática Pura e Aplicada. Viemos de extremos diferentes do país e nos encontramos no Rio de Janeiro, no Instituto Militar de Engenharia, onde nos tornamos engenheiros de computação. Seguimos com um mestrado em matemática por instituições de excelência e entendemos que poderíamos retribuir as oportunidades que tivemos de uma maneira mais ampla para todo o Brasil.

Por isso, criamos o Programação Dinâmica, onde ensinamos sobre programação, ciência de dados, machine learning e inteligência artificial e promovemos discussões sobre novas tecnologias e seus impactos na sociedade.

Inscreva-se no canal e junte-se a essa jornada de transformação!"
