,Canal,Nome vídeo,Data
1925,RashidVEVO,Watched BROWNIE DE CANECA | Temporada de Doces,2020-04-11 07:55:18.422
1926,RashidVEVO,Watched Dica para Amassar Alho em 10 segundos sem Amassador e Cheiro,2020-04-11 07:53:01.603
1927,RashidVEVO,Watched PÃO DE ALHO CASEIRO (super facil e barato),2020-04-11 07:39:30.867
1928,Rashid - Topic,Watched Gramado - Canela  paixão da natureza,2020-04-11 07:06:03.749
1929,Rejane Lima,Watched TRILHA NO LUGAR MAIS TOP DA SERRA GAUCHA-RS #01 / PASSEIO ADVENTOUR BRASIL,2020-04-11 07:05:06.151
1930,Mohamad Hindi,Watched Conheça 7 PASSEIOS imperdíveis em GRAMADO - RS,2020-04-11 06:56:16.753
1931,Zaruty Network - Brasil ,Watched Gramado - Vale do Quilombo (Serra Gaúcha) - Linda paisagem - Mirante - Music by Tunguska EMS,2020-04-11 06:55:23.093
1932,Bruno Campioni,Watched Live Bruno & Marrone Oficial (B&M),2020-04-10 00:47:23.480
1933,GRAMADO INCRÍVEL,Watched https://www.youtube.com/watch?v=63EurrsAMOc,2020-04-10 00:37:15.156
1934,Steka 135,"Watched Pronunciamento Oficial do Presidente da República, Jair Bolsonaro",2020-04-09 03:59:11.821
1935,Trips e Jobs,Watched Marília Mendonça - CIUMEIRA - (Todos Os Cantos)  #Ciumeira,2020-04-07 23:50:35.393
1936,Julio Couto Imagens,Watched Eles se atreveram: A revolução russa de 1917 - Editado para fins didáticos,2020-04-07 23:15:32.226
1937,Bruno e Marrone,Watched 10 MOTIVOS PARA ESCOLHER A NOVA ZELÂNDIA | INTERCÂMBIO,2020-04-07 21:56:27.809
1938,adsense,Watched POR QUE FAZER INTERCÂMBIO NA NOVA ZELÂNDIA,2020-04-07 21:53:50.834
1939,TV BrasilGov,Watched https://www.youtube.com/watch?v=96LFOBC8u-4,2020-04-07 21:53:10.690
1940,Marília Mendonça,Watched OS INTERCÂMBIOS MAIS BARATOS DO MUNDO | Mi Alves,2020-04-07 21:45:57.746
1941,Dryca Gelinski,Watched QUANTO CUSTOU MEU INTERCÂMBIO PRA TORONTO - Canadá? | Mi Alves,2020-04-07 21:37:00.134
1942,Deoti no Mundo,Watched Geomorfologia do Brasil 00,2020-04-07 20:40:02.323
1943,Canal do Intercâmbio STB,Watched 12 Livros para 2020 | Tatiana Feltrin,2020-04-07 05:19:21.410
1944,adsense,Watched Dom Quixote de La Mancha (Miguel de Cervantes),2020-04-07 05:19:08.387
1945,Mi Alves,Watched Mineração em Poços de Caldas - Todo o Cuidado com o Meio Ambiente,2020-04-05 22:30:43.774
1946,Mi Alves,Watched Pegadinha do Mução: Bufa de Alma (é de morrer de rir),2020-04-05 12:42:29.309
1947,GEOGRAFIA - Prof. Gilsinho Brandão,Watched 1 Hora de Pegadinhas do Mução - #Volume 94,2020-04-05 12:41:37.462
1948,tatianagfeltrin,Watched Jorge & Mateus - Live Na Garagem,2020-04-05 01:54:48.800
1949,tatianagfeltrin,Watched STRONG 30 I PROJETO BABA BABY,2020-03-31 22:26:12.615
1950,Image Nature,Watched PERCA CALORIAS EM 45 MINUTOS DE AULA DE RITMOS (FUNK) PERCA PESO | PERCA CALORIAS,2020-03-31 22:25:37.507
1951,Getulio Freire,Watched ZUMBA FITNESS - Clase completa - 40 minutos de Zumba,2020-03-31 22:25:08.925
1952,Trotes e Pegadinha,Watched PERCA CALORIAS EM 30 MINUTOS DANÇANDO FUNK & ZUMBA - PERCA PESO | QUEIME CALORIAS DANÇANDO,2020-03-31 22:23:15.161
1953,Jorge & Mateus Oficial,Watched Queime MUITA GORDURA em Apenas 20 MINUTOS! - Treino Total HIIT | Thiago Pugliesi,2020-03-31 22:17:12.947
1954,Canal Kelly Key,Watched a video that has been removed,2020-03-31 22:14:24.928
1955,Brown Andrade,Watched Senorita by Shawn Mendes x Camila Cabello | Live Love Party™ | Zumba® | Dance Fitness,2020-03-31 22:12:49.879
1956,Vanessa Cid,Watched Luísa Sonza - BRABA,2020-03-31 22:11:05.136
1957,Brown Andrade,Watched Luísa Sonza - Braba | FitDance TV | #FiqueEmCasa e Dance #Comigo,2020-03-31 22:09:59.507
1958,Thiago Pugliesi,Watched COMO EU FIZ UM MILHÃO DE REAIS COM 21 ANOS l Gabi Ferreira,2020-03-31 02:07:02.239
1959,adsense,Watched Mineração em Poços de Caldas - Todo o Cuidado com o Meio Ambiente,2020-03-31 02:06:18.581
1960,LIVELOVEPARTY.TV,Watched IP WEBCAM - Use seu telefone como uma camera ip ou webcam sem fios.,2020-03-30 13:28:07.617
1961,LuisaSonzaVEVO,Watched Eles se atreveram: A revolução russa de 1917 - Editado para fins didáticos,2020-03-30 13:10:16.426
1962,FitDance,Watched ANAVITÓRIA - Amor 2 em 1 (#2em1 Intel),2020-03-30 02:39:03.727
1963,Gabi Ferreira,Watched https://www.youtube.com/watch?v=wIXXkd7aBN8,2020-03-28 23:47:55.413
1964,Image Nature,Watched a video that has been removed,2020-03-28 23:47:30.284
1965,Pequenos Reviews,Watched ESTAMOS DESPROTEGIDOS!!! ACABOU TUDO!!!,2020-03-28 17:41:49.442
1966,Dryca Gelinski,Watched Gimp 02 - Ferramentas de Seleção,2020-03-26 13:50:20.372
1967,ANAVITÓRIA,Watched Gimp 03 - Ferramentas de Transformação,2020-03-26 13:50:14.832
1968,adsense,Watched Gimp 01 - Apresentação da Ferramenta,2020-03-26 13:20:18.385
1969,adsense,Watched UM44K - Melhor Pensar (Clipe Oficial),2020-03-26 05:43:11.451
1970,Invento na Hora,Watched Meus Cuidados com a Pele - Produtos Caros x Baratos por Mari Sampaio,2020-03-26 04:14:25.839
1971,Andres Jesse,Watched A matemática transforma o futuro | CELSO COSTA | TEDxNiteroi,2020-03-25 18:32:02.098
1972,Andres Jesse,Watched Anavitória - Ao Vivo em São Paulo - MINIDocs®,2020-03-25 18:07:20.371
1973,Andres Jesse,Watched COMO EU CUIDO DA MINHA PELE!,2020-03-25 04:13:22.481
1974,UM44K,Watched Poesia Acústica Paris - Luccas Carlos | Dk47 | Xamã | Chris | Cynthia Luz | Froid (Prod. Malak),2020-03-23 13:31:09.719
1975,Mari Sampaio,Watched Gusttavo Lima - Final do Fim - DVD O Embaixador (Ao Vivo),2020-03-22 19:05:50.366
1976,TEDx Talks,Watched Gustavo Mioto - DESPEDIDA DE CASAL - DVD Ao Vivo Em Fortaleza,2020-03-22 18:46:38.599
1977,MINIDocs,Watched a video that has been removed,2020-03-22 18:17:11.833
1978,Vivian Schilling,Watched QUANTO GANHEI NO MEU PRIMEIRO PAGAMENTO DA HOTMART? 💰🔥,2020-03-22 18:16:51.420
1979,PineappleStormTV,Watched 💎 Hotmart Para Iniciantes | Guia Definitivo Para Ganhar Dinheiro No Hotmart,2020-03-22 18:09:53.304
1980,Gusttavo Lima Oficial,Watched [Hotmart e Monetizze] Não Caia nesse GOLPE! Não seja Enganado! ‹ Thiago Savi ›,2020-03-22 18:04:53.705
1981,Gustavo Mioto,Watched SAÍDA ou DEMISSÃO da GLOBO? O real motivo do fim da dupla do Bem Estar,2020-03-22 04:02:13.177
1982,adsense,Watched Aula 1 - Introdução ao Python e Preparando o ambiente - Python Básico Solyd,2020-03-22 04:00:51.185
1983,Loma Moura,Watched Live 20/03 - O que o Brasil precisa fazer nos próximos dias #FiqueEmCasa,2020-03-22 00:09:22.927
1984,Alex Vargas,Watched Servidores Públicos - Direito Constitucional,2020-03-20 23:14:57.314
1985,Thiago Savi,Watched Direito Administrativo -  Servidores Públicos - Giuliano Menezes,2020-03-20 23:14:47.720
1986,Mariana Ferrão,Watched RETA FINAL SEDUC-CE - Servidores Públicos - Prof.: Lucas Neto,2020-03-20 23:13:28.239
1987,Solyd Offensive Security,Watched Live #15 Direito Administrativo - Servidores Públicos,2020-03-20 23:10:53.126
1988,Atila Iamarino,Watched Aula 28 - Servidores Públicos - Parte 3 - DADM,2020-03-20 22:38:13.657
1989,LacConcursos - Canal,Watched Vamos conhecer Simplício o noivo que sobreviveu no maior acidente de Salgueiro Pernambuco Brazil,2020-03-20 19:34:27.483
1990,Curso Agora Eu Passo,Watched Estátua do cangaçeiro Lampião em frente a casa de sua avó dona jacosa,2020-03-20 19:34:25.515
1991,Objetivo Concursos,Watched Tragédia e dez mortos no dia do casamento a noiva também morreu em sítio feijão Salgueiro Pernambuco,2020-03-20 19:32:09.192
1992,Prof. André Maia,Watched Aula 27 - Servidores Públicos - Parte 2 - DADM,2020-03-20 18:56:53.817
1993,GETUSSP,Watched Aula 26 - Servidores Públicos - Parte 1 - DADM,2020-03-20 18:43:32.389
1994,Sertão Mamoeiro,Watched Aula 01 - Noções da Administração Pública - DADM,2020-03-20 18:38:48.483
1995,Sertão Mamoeiro,Watched Anavitória - Ao Vivo em São Paulo - MINIDocs®,2020-03-20 17:36:27.107
1996,Sertão Mamoeiro,Watched CHEGOU A HORA!!!,2020-03-20 05:55:00.916
1997,GETUSSP,Watched FIZ UMA SURPRESA PRO MEU EDITOR E ELE SE EMOCIONOU MUITO!!!,2020-03-20 05:33:33.305
1998,GETUSSP,Watched Você REALMENTE quer MEDICINA?,2020-03-20 05:33:25.865
1999,GETUSSP,Watched A GALINHADA MAIS FÁCIL DO MUNDO,2020-03-20 03:07:12.723
2000,MINIDocs,Watched REVELAÇÕES DE BRUNA MARQUEZINE! (REAL OFICIAL),2020-03-20 02:58:39.657
2001,Invento na Hora,Watched BRUNA MARQUEZINE JÁ SE HUMILHOU NA FRENTE DO EX | #MMPB COM DORA FIGUEIREDO,2020-03-20 02:53:08.371
2002,Invento na Hora,Watched CORONAVÍRUS no Brasil | Prof. Paulo Jubilut,2020-03-19 05:26:12.181
2003,Biologia Total,Watched https://www.youtube.com/watch?v=iKB7K3UiPrs,2020-03-19 04:58:50.770
2004,Sunaika Bruna,Watched Mulher com coronavírus no DF respira com ajuda de aparelhos,2020-03-19 04:58:17.627
2005,GIOH,Watched Mulher com suspeita de coronavírus morre em São Paulo.,2020-03-19 04:55:38.239
2006,MOV,Watched Curso Básico de Francês #1 | Cumprimentar e se despedir | Céline Chevallier,2020-03-19 03:38:35.325
2007,Biologia Total,Watched OS NOTEBOOKS DE 2019 ESTÃO BRUTOS! | CES,2020-03-18 19:26:49.992
2008,adsense,Watched qual MELHOR NOTEBOOK CUSTO BENEFÍCIO de 2020? | #16 modelos BONS E BARATOS mais vendidos!,2020-03-18 19:14:10.983
2009,Record News,Watched Curso Python #01 - Seja um Programador,2020-03-18 18:55:17.364
2010,Brasil Urgente,Watched SOBRE OS BOYS DO BBB20 e CULTURA DO CANCELAMENTO   | Dora Figueiredo e Bruna Marquezine,2020-03-18 18:12:38.997
2011,Os franceses tomam banho!,"Watched MARQUEZINE: SOFRIA POR SER ROTULADA COMO ""ATRIZ DE NOVELA""",2020-03-18 18:06:24.417
2012,EscolhaSegura,Watched Anitta e Tatá Werneck se divertem com REVELAÇÕES inusitadas! | Esquenta Lady Night | Humor Multishow,2020-03-18 18:05:45.998
2013,EscolhaSegura,Watched Bruna Marquezine e Tatá Werneck são uma dupla PERFEITA 😂 | Esquenta Lady Night | Humor Multishow,2020-03-18 17:52:49.600
2014,Curso em Vídeo,Watched Tatá Werneck quer saber sobre a depilação de ANAVITÓRIA! 😂 | Lady Night | Humor Multishow,2020-03-18 17:52:40.595
2015,Dora Figueiredo,Watched Por Que Não Vê - Limão Com Mel - Um Show de Emoções,2020-03-16 23:48:25.077
2016,UOL,Watched Limão com Mel   -   Homem da Lua   (Relíquia Forrozeira),2020-03-16 23:45:50.634
2017,Humor Multishow,Watched Dengo,2020-03-16 22:44:24.089
2018,Humor Multishow,Watched Dói Sem Tanto,2020-03-16 22:44:11.977
2019,Humor Multishow,Watched Calendário,2020-03-16 22:40:22.861
2020,BrenoEmannuel1,Watched Pode Se Achegar,2020-03-16 22:38:59.609
2021,Sangue Forrozeiro,Watched Girassol,2020-03-16 22:35:03.089
2022,Anavitória - Topic,"Watched Rubel, ANAVITÓRIA - Partilhar [Letra]",2020-03-16 22:22:38.823
2023,Anavitória - Topic,"Watched Ai, amor - ANAVITÓRIA (Letra/Legendado)",2020-03-16 22:21:54.017
2024,Anavitória - Topic,Watched ANAVITÓRIA - A Gente Junto,2020-03-16 22:17:32.917
2025,Agnes Nunes - Topic,Watched https://www.youtube.com/watch?v=8_CoFZCiRB8,2020-03-16 11:19:23.405
2026,Priscilla Alcântara - Topic,Watched Relicário - Nando Reis e ANAVITORIA,2020-03-16 11:18:51.694
2027,Laysla,Watched Anavitória - Barquinho de Papel - MINIDocs® • Ao Vivo em São Paulo,2020-03-16 11:15:06.001
2028,VLegendas BR,Watched Anavitória - Dengo - MINIDocs® • Ao Vivo em São Paulo,2020-03-16 11:10:51.967
2029,AnavitoriaVEVO,Watched Anavitória - Fica - MINIDocs® • Ao Vivo em São Paulo,2020-03-16 11:08:53.235
2030,adsense,Watched Anavitória - Singular - MINIDocs®,2020-03-16 11:04:45.022
2031,outrogrilo,Watched Anavitória - Ao Vivo em São Paulo - MINIDocs®,2020-03-16 11:01:05.640
2032,MINIDocs,Watched A Ordem Natural das Coisas,2020-03-16 11:00:51.337
2033,MINIDocs,Watched Nando Reis e Anavitória - N (ao vivo nos ensaios para a turnê),2020-03-16 11:00:01.595
2034,MINIDocs,Watched Marília Mendonça - CIUMEIRA - (Todos Os Cantos)  #Ciumeira,2020-03-16 10:59:34.104
2035,MINIDocs,Watched Filme Quanto Vale Ou É Por Quilo? (completo),2020-03-16 00:04:30.812
2036,MINIDocs,Watched Ana e Cecília - Dói Sem Tanto,2020-03-15 17:59:58.105
2037,Emicida - Topic,Watched Aula 9 - Placa de Vídeo - Curso Grátis AndreCisp,2020-03-13 15:22:18.055
2038,Nando Reis,Watched Aula 8 - Leitores de DVDs - Curso Grátis AndreCisp,2020-03-13 15:07:35.236
2039,Marília Mendonça,Watched Aula 7 - Disco Rigido HD - Curso Grátis AndreCisp,2020-03-13 14:43:40.935
2040,Professor Mem Costa,Watched Aula 6 - Memória RAM - Curso Grátis AndreCisp,2020-03-13 14:34:51.400
2041,AnaVitória Filme,Watched Estoque Principal de Peças Para Celular,2020-03-13 14:31:11.962
2042,AndreCisp,Watched Moto G4 não carrega e Microscópio da China é bom ou não,2020-03-13 14:14:52.499
2043,AndreCisp,Watched Quais os cabos da fonte de alimentação?  - Aprenda aqui,2020-03-13 04:26:18.564
2044,AndreCisp,Watched Como Escolher uma BOA FONTE para seu PC GAMER,2020-03-13 04:10:10.659
2045,AndreCisp,Watched Hardware para iniciantes - Fonte de alimentação,2020-03-13 04:09:56.982
2046,AndreCisp,Watched Aula 5 - Processadores - Curso Grátis AndreCisp,2020-03-13 02:42:26.226
2047,AndreCisp,Watched Aula 4 - Diagrama em Blocos - Curso Grátis AndreCisp,2020-03-13 02:38:29.876
2048,JC Tutoriais,Watched Aula 3 - Placa Mãe - Curso Grátis AndreCisp,2020-03-13 00:46:47.555
2049,BPV,Watched Aula 2  - Eletricidade Estática - Curso Grátis AndreCisp,2020-03-13 00:33:22.872
2050,RBtech,Watched Aula 1 - Gabinete - Curso Grátis AndreCisp,2020-03-13 00:07:54.938
2051,AndreCisp,Watched Windows 10 para concursos - Aula ao vivo de informática,2020-03-13 00:03:10.827
2052,AndreCisp,Watched Windows 10 para concursos 2020 - Aula 1 de informática,2020-03-13 00:02:18.819
2053,AndreCisp,Watched Windows 10 para concursos 2020 - Aula 38 de informática,2020-03-13 00:01:05.739
2054,AndreCisp,Watched DESISTI DE MEDICINA,2020-03-12 23:48:07.433
2055,AndreCisp,Watched #MinutoMaquiADORO Base Líquida Skin Perfection - Eudora by Cool Marina,2020-03-12 14:11:32.467
2056,Veon Aprova Logo,Watched Windows 10 para concursos - Aula ao vivo de informática,2020-03-11 15:21:39.546
2057,Veon Aprova Logo,Watched Simulador de Manutenção da Intel - Check List de Manutenção de PC´s www.professorramos.com,2020-03-11 14:47:09.123
2058,Veon Aprova Logo,Watched Curso Hardware #12 - Montando um computador (Parte 1),2020-03-11 14:44:11.071
2059,Thais Reolon,Watched 1 - Instalação do Linux Ubuntu 12.10,2020-03-11 14:40:09.377
2060,MaquiADORO,Watched Linux e software livre - Aula 1 - Kernel e Shell - Rodrigo Schaeffer,2020-03-11 14:37:19.456
2061,Veon Aprova Logo,"Watched Como instalar, configurar e Utilizar o OpenOffice",2020-03-11 13:51:35.609
2062,ProfessorRamos,Watched Como Baixar e Instalar o OpenOffice (Versão Atualizada),2020-03-11 13:51:24.901
2063,Curso em Vídeo,Watched Como baixar e instalar o OpenOffice sem vírus Atualizado 2017,2020-03-11 13:48:54.797
2064,Bóson Treinamentos,Watched Dicas de Configuração Pacote Office 2016,2020-03-11 13:35:37.111
2065,Rodrigo Schaeffer,Watched Como baixar e instalar o pacote Microsoft Office 2019 (Atualização do vídeo foi lançada no canal!),2020-03-11 13:18:03.225
2066,CedrazService - Fábio Cedraz,Watched Instalacao de Perifericos - Atividade Final - parte 1,2020-03-11 13:11:22.082
2067,BrUNO TUtorIA1S,Watched a video that has been removed,2020-03-09 01:26:32.148
2068,Cuper Colored,Watched Nando Reis e Anavitória - As Coisas Tão Mais Lindas,2020-03-08 21:12:06.521
2069,Sayro Digital,Watched AnaVitoria e Nando Reis,2020-03-08 21:11:16.310
2070,Marcus Gabriel,Watched Nando Reis e Anavitória - N (ao vivo nos ensaios para a turnê),2020-03-08 21:07:17.986
2071,Moisés André Nisenbaum,Watched Anavitória - Ao Vivo em São Paulo - MINIDocs®,2020-03-08 20:34:51.982
2072,adsense,Watched Hino Vira-Lata,2020-03-08 20:14:55.583
2073,Nando Reis,Watched Maracatu atômico,2020-03-08 20:14:43.543
2074,Wickson Batista,Watched Nosso sonho,2020-03-08 20:12:36.174
2075,Nando Reis,Watched Alma Gêmea,2020-03-08 20:08:32.947
2076,MINIDocs,Watched Madagascar,2020-03-08 20:04:20.142
2077,Emicida - Topic,Watched Mãe,2020-03-08 19:59:19.034
2078,Emicida - Topic,Watched Passarinhos,2020-03-08 19:55:33.800
2079,Emicida - Topic,Watched Quem Tem Um Amigo (Tem Tudo),2020-03-08 19:51:13.725
2080,Emicida - Topic,Watched A Ordem Natural das Coisas,2020-03-08 19:47:09.893
2081,Emicida - Topic,Watched Pequenas Alegrias da Vida Adulta (feat. Marcos Valle e Thiago Ventura),2020-03-08 19:43:11.372
2082,Emicida - Topic,Watched Principia,2020-03-08 19:37:12.640
2083,Emicida - Topic,Watched Emicida - Aos olhos de uma criança (trilha sonora de O Menino e o Mundo),2020-03-08 19:37:06.909
2084,Emicida - Topic,"Watched Curso Rápido de Manutenção em Computadores, Parte-1, curso de Hardware",2020-03-08 19:08:33.115
2085,Emicida - Topic,Watched MONTAGEM DE COMPUTADORES CURSO COMPLETO: PRINCIPAIS FERRAMENTAS - #AULA 01,2020-03-08 19:07:57.639
2086,Emicida - Topic,Watched Linux para concursos e software livre - Aula 37 - Rodrigo Schaeffer,2020-03-08 18:38:23.561
2087,Emicida - Topic,Watched Backup e Restauração da  Imagem do Sistema Windows 10,2020-03-08 16:06:44.854
2088,Filme de Papel,Watched Sandy EMOCIONOU Tatá Werneck com surpresa no palco! 😍 | ESQUENTA LADY NIGHT | Humor Multishow,2020-03-08 03:38:55.185
2089,Ink Mania,Watched Gretchen desabafa sobre gravidez de Thammy | ESQUENTA LADY NIGHT | Humor Multishow,2020-03-08 03:32:22.342
2090,Sertec Manutenção,Watched Rivalidade entre padres? Pe. Fabio de Melo faz desabafo! 😱 | ESQUENTA LADY NIGHT | Humor Multishow,2020-03-06 22:57:29.514
2091,Rodrigo Schaeffer,Watched Luísa Sonza fala sobre FOTOS que manda para Whindersson Nunes | Lady Night | Humor Multishow,2020-03-06 22:46:36.438
2092,Marco Andrade,Watched OUTRA MULHER ME VIU COMPLETAMENTE SEM ROUPA!!!,2020-03-06 22:21:25.278
2093,Humor Multishow,Watched TROLLEI MINHA NAMORADA DIZENDO QUE BATI O CARRO NOVO DELA!!!,2020-03-06 22:21:06.207
2094,Humor Multishow,Watched CONSEGUI COMPRAR O MEU PROPRIO CARRO❤️❤️,2020-03-06 22:12:40.922
2095,Humor Multishow,Watched A BRUNA DECIDIU COMPRAR UM CARRO PRA ELA!!!,2020-03-06 21:58:42.762
2096,Humor Multishow,Watched O QUE ACONTECEU EM 2020 ATÉ AGORA | DOSE DE ATUALIDADES,2020-03-06 19:55:27.498
2097,Invento na Hora,Watched Gabaritando Atualidades – Janeiro de 2020: Profª Rebecca Guimarães,2020-03-06 19:54:00.068
2098,Invento na Hora,Watched QUESTÕES DE HARDWARE - COMENTADAS,2020-03-06 19:52:52.856
2099,Sunaika Bruna,Watched DNS - Domain Name System,2020-03-06 19:44:04.262
2100,Invento na Hora,Watched Como funciona o DNS,2020-03-06 19:43:43.554
2101,Descomplica,Watched Windows 2003 Server - DHCP e WINS - www.professorramos.com,2020-03-06 19:43:03.654
2102,Gran Cursos Online - Concursos Públicos,Watched GINKGO BILOBA: NELE VOCÊ ENCONTRA CURA PARA DIVERSOS MALES,2020-03-06 19:41:35.736
2103,Questões Rápidas de Concursos,Watched Conheça 7 incríveis Benefícios do Ginkgo Biloba para Saúde! | Naturalmente Saudável,2020-03-06 18:53:28.001
2104,Paulo Kretcheu,Watched GINKGO BILOBA serve para Zumbino no ouvido e Labirintite ? Neurologista Dr Tontura explica,2020-03-06 18:53:24.458
2105,Simplificando TI,Watched GINKGO BILOBA PARA QUE SERVE ? É BOA PARA MEMÓRIA ?,2020-03-06 18:47:09.957
2106,ProfessorRamos,Watched CCNA R&S - Curso completo - AULA 41 - Frame Relay - Parte 01,2020-03-06 16:51:51.793
2107,Dicas e muito mais,"Watched O que são protocolos de roteamento (RIP, OSPF, BGP4, STP)",2020-03-06 16:33:36.159
2108,Naturalmente Saudável,Watched Protocolo HTTP em detalhes - Prática (Aprenda agora!),2020-03-06 15:39:29.179
2109,NeurologiaePsiquiatria TV,Watched Como funciona o protocolo HTTP de forma RESUMIDA?,2020-03-06 15:38:28.283
2110,Larissa Scharf,Watched CCNA R&S - Curso completo - AULA 42 - FRAME RELAY - PARTE 2,2020-03-06 13:40:06.470
2111,Gustavo Kalau,Watched Frame Relay,2020-03-06 13:39:29.229
2112,Simplificando TI,"Watched Redes IP, Frame Relay e ATM - Preparatório Concursos UNISAT EAD",2020-03-06 13:37:45.223
2113,Programador a Bordo,Watched Servidor DHCP no Linux 01 - Instalação e Configuração de um Escopo.,2020-03-06 03:32:16.549
2114,Canal TI,Watched Curso de Redes   Camada de Transporte do Modelo OSI e Protocolos,2020-03-06 03:31:59.354
2115,Gustavo Kalau,"Watched Curso de Redes - Vídeo 01 - Componentes de uma rede, LAN, WAN.",2020-03-06 03:31:28.943
2116,ciscoKim,Watched Curso de Redes - O que é o protocolo DHCP,2020-03-06 03:16:35.341
2117,UNISAT EAD,Watched Curso de Redes - O que é o protocolo DHCP,2020-03-05 14:41:15.528
2118,Bóson Treinamentos,Watched https://www.youtube.com/watch?v=oRW4NhTykzo,2020-03-04 21:57:53.982
2119,Bóson Treinamentos,Watched Como funciona uma rede Token Ring?  Aula 03,2020-03-04 15:03:29.051
2120,Bóson Treinamentos,Watched IGMP Snooping,2020-03-04 14:46:00.130
2121,Bóson Treinamentos,Watched O que faz uma pessoa mudar? | Monja Coen | Zen Budismo,2020-03-03 23:36:09.266
2122,Bóson Treinamentos,Watched Introdução ao Gerenciamento de Redes - parte 6 - ICMP,2020-03-03 14:27:01.261
2123,adsense,Watched Introdução ao Gerenciamento de Redes - parte 4 - SNMP,2020-03-03 14:22:24.869
2124,Bruno Wanderley - TI com Acai,Watched O que é SMTP ?,2020-03-03 13:55:11.416
2125,RotaDefaultVideos,Watched Curso de Redes - Vídeo 14 - Protocolo Ethernet,2020-03-02 02:35:36.614
2126,Monja Coen,Watched SYSADMIN Protocolos ARP e RARP,2020-03-02 02:10:09.506
2127,NICbrvideos,Watched Ethernet e ARP,2020-03-02 01:35:22.236
2128,NICbrvideos,Watched Aula de Redes - Como Calcular Mascara de Redes em 10 Segundos,2020-03-02 01:29:08.536
2129,Michael Magro,Watched COMO DESCOBRIR A MÁSCARA DE REDE E SABER OS IPS DISPONÍVEIS - MIKROTIK - FRANKLIN OLIVEIRA,2020-03-02 01:28:34.744
2130,Bóson Treinamentos,Watched Mascara de redes - Simples e objetivo,2020-03-02 01:24:52.478
2131,Eduardo Lima,Watched IPv6 no Café da Manhã - 01 de 03 - Planejamento e Endereçamento de Redes IPv6,2020-03-02 00:50:48.423
2132,Paulo Kretcheu,Watched IPv6 no Café da Manhã - 03 de 03 - Planejamento e Endereçamento IPv6,2020-03-02 00:50:41.327
2133,Zona de Inspeção,Watched IPv6 no Café da Manhã - 02 de 03 - Planejamento e Endereçamento de Redes IPv6,2020-03-02 00:50:25.350
2134,Franklin Oliveira,"Watched O que é o IPv6, em português claro",2020-03-01 18:50:33.696
2135,O Velho Sabe,Watched Exemplo de Uso de Endereços CIDR - Parte 1,2020-03-01 17:33:39.537
2136,NICbrvideos,Watched Exemplo de Uso de Endereços CIDR - Parte 2,2020-03-01 17:33:33.868
2137,NICbrvideos,Watched O que é a conotação CIDR? /24? /22? | LPIC-1,2020-03-01 16:45:04.929
2138,NICbrvideos,"Watched CORONA VÍRUS, FOMOS INFECTADOS (não é click bait.)",2020-03-01 16:43:28.950
2139,NICbrvideos,Watched Curso de Redes - Protocolo FTP - File Transfer Protocol,2020-02-28 21:29:41.609
2140,Othon Batista,Watched O que é FTP? | Filezilla FTP | File Transfer Protocol,2020-02-28 21:28:15.546
2141,Othon Batista,Watched https://www.youtube.com/watch?v=NUBKTwAAOhI,2020-02-28 21:25:19.351
2142,Mateus Muller,Watched https://www.youtube.com/watch?v=r0YpoP_fUa0,2020-02-28 21:25:15.425
2143,Canal Salles,Watched NÃO VAMOS TER MAIS A EVINHA!,2020-02-28 15:34:09.446
2144,Bóson Treinamentos,Watched Vídeo Aula Windows 7: Como ativar o telnet no cmd,2020-02-28 14:20:13.710
2145,Homehost,Watched Telnet and SSH - CompTIA Security+ SY0-401: 1.4,2020-02-28 14:08:45.703
2146,adsense,Watched Acesso Remoto: Protocolo SSH e Telnet  -  Informática | Concurso STM,2020-02-28 14:08:35.651
2147,adsense,Watched Configurando Telnet Acesso Remoto,2020-02-28 14:08:30.315
2148,Christian Figueiredo,Watched Política de Aplicação das Agências Oficiais de Fomento LDO - AFO | Concurso STM,2020-02-28 14:06:21.467
2149,Palito Tutoriais,Watched 💣Mentiu? Análise Não Verbal de Pyong pedindo desculpa pós festa + Bianca solteira? Melim apaga tudo,2020-02-27 10:11:18.556
2150,Professor Messer,Watched BOCA ROSA: POLÊMICAS DA INTERNET AO BBB | Y! YOUTUBE STORY,2020-02-27 09:56:30.169
2151,Estúdio Aulas Concursos,Watched a video that has been removed,2020-02-27 09:43:01.220
2152,Diego Maciel,Watched COMPREI OS MATERIAIS ESCOLARES DA FILHA DA NOSSA NOVA AJUDANTE,2020-02-21 15:05:36.692
2153,Estúdio Aulas Concursos,Watched https://www.youtube.com/watch?v=t53Dnn3Dq1w,2020-02-20 20:28:20.442
2154,WebTVBrasileira,Watched a video that has been removed,2020-02-20 20:26:46.107
2155,Y! NEWS,Watched 🔴 Topologias Lógicas e Físicas utilizando o Cisco Packet Tracer,2020-02-19 12:59:40.420
2156,adsense,Watched 🔴 Layout lógico e físico de Rede Wireless (Wi-Fi) no Cisco Packet Tracer,2020-02-19 12:59:37.198
2157,Sunaika Bruna,Watched Curso de Redes - Vídeo 02 - Topologias,2020-02-19 12:22:56.707
2158,adsense,Watched https://www.youtube.com/watch?v=oRW4NhTykzo,2020-02-19 12:21:45.422
